project, method, run, precision
commons-text, pp, 26, 78.2
commons-text, pp, 27, 78.1
commons-text, pp, 28, 78.7
commons-text, pp, 29, 78.5
commons-text, cs+pp, 0, 79.1
commons-codec, orig, 0, 87.2
commons-codec, orig, 1, 87.2
commons-codec, orig, 2, 87.4
commons-codec, orig, 3, 87.3
commons-codec, orig, 4, 87.1
commons-codec, orig, 5, 87.0
commons-codec, orig, 6, 86.7
commons-codec, orig, 7, 87.6
commons-codec, orig, 8, 87.4
commons-codec, orig, 9, 86.9
commons-codec, orig, 10, 86.9
commons-codec, orig, 11, 87.1
commons-codec, orig, 12, 87.1
commons-codec, orig, 13, 87.5
commons-codec, orig, 14, 87.7
commons-codec, orig, 15, 87.1
commons-codec, orig, 16, 87.1
commons-codec, orig, 17, 87.1
commons-codec, orig, 18, 87.0
commons-codec, orig, 19, 87.3
commons-codec, orig, 20, 87.3
commons-codec, orig, 21, 87.4
commons-codec, orig, 22, 86.8
commons-codec, orig, 23, 87.1
commons-codec, orig, 24, 87.0
commons-codec, orig, 25, 86.9
commons-codec, orig, 26, 87.5
commons-codec, orig, 27, 87.2
commons-codec, orig, 28, 87.3
commons-codec, orig, 29, 87.0
commons-codec, cs, 0, 87.4
commons-codec, pp, 0, 87.5
commons-codec, pp, 1, 87.7
commons-codec, pp, 2, 87.7
commons-codec, pp, 3, 87.4
commons-codec, pp, 4, 87.9
commons-codec, pp, 5, 87.3
commons-codec, pp, 6, 87.7
commons-codec, pp, 7, 88.1
commons-codec, pp, 8, 88.0
commons-codec, pp, 9, 87.9
commons-codec, pp, 10, 87.8
commons-codec, pp, 11, 87.8
commons-codec, pp, 12, 87.5
commons-codec, pp, 13, 87.7
commons-codec, pp, 14, 87.5
commons-codec, pp, 15, 87.5
commons-codec, pp, 16, 87.8
commons-codec, pp, 17, 87.4
commons-codec, pp, 18, 87.4
commons-codec, pp, 19, 87.7
commons-codec, pp, 20, 87.5
commons-codec, pp, 21, 87.9
commons-codec, pp, 22, 87.7
commons-codec, pp, 23, 87.8
commons-codec, pp, 24, 87.5
commons-codec, pp, 25, 87.5
commons-codec, pp, 26, 87.6
commons-codec, pp, 27, 87.3
commons-codec, pp, 28, 87.6
commons-codec, pp, 29, 87.3
commons-codec, cs+pp, 0, 87.5
