project, method, run, precision
commons-csv, cs, 0, 79.8
commons-csv, pp, 0, 81.4
commons-csv, pp, 1, 82.7
commons-csv, pp, 2, 81.7
commons-csv, pp, 3, 81.8
commons-csv, pp, 4, 82.4
commons-csv, pp, 5, 82.6
commons-csv, pp, 6, 82.3
commons-csv, pp, 7, 82.8
commons-csv, pp, 8, 82.7
commons-csv, pp, 9, 83.8
commons-csv, pp, 10, 82.6
commons-csv, pp, 11, 82.9
commons-csv, pp, 12, 81.0
commons-csv, pp, 13, 82.0
commons-csv, pp, 14, 83.0
commons-csv, pp, 15, 82.4
commons-csv, pp, 16, 82.2
commons-csv, pp, 17, 81.7
commons-csv, pp, 18, 82.5
commons-csv, pp, 19, 81.2
commons-csv, pp, 20, 81.2
commons-csv, pp, 21, 81.3
commons-csv, pp, 22, 81.7
commons-csv, pp, 23, 81.2
commons-csv, pp, 24, 81.2
commons-csv, pp, 25, 81.3
commons-csv, pp, 26, 81.6
commons-csv, pp, 27, 83.1
commons-csv, pp, 28, 81.6
commons-csv, pp, 29, 81.1
commons-csv, cs+pp, 0, 81.7
commons-cli, orig, 0, 78.2
commons-cli, orig, 1, 79.4
commons-cli, orig, 2, 77.5
commons-cli, orig, 3, 77.8
commons-cli, orig, 4, 76.8
commons-cli, orig, 5, 79.5
commons-cli, orig, 6, 79.3
commons-cli, orig, 7, 78.7
commons-cli, orig, 8, 78.5
commons-cli, orig, 9, 79.2
commons-cli, orig, 10, 78.4
commons-cli, orig, 11, 78.5
commons-cli, orig, 12, 78.4
commons-cli, orig, 13, 78.0
commons-cli, orig, 14, 77.9
commons-cli, orig, 15, 78.7
commons-cli, orig, 16, 78.6
commons-cli, orig, 17, 77.2
commons-cli, orig, 18, 78.9
commons-cli, orig, 19, 78.9
commons-cli, orig, 20, 76.2
commons-cli, orig, 21, 79.0
commons-cli, orig, 22, 76.3
commons-cli, orig, 23, 78.4
commons-cli, orig, 24, 79.1
commons-cli, orig, 25, 77.5
commons-cli, orig, 26, 78.6
commons-cli, orig, 27, 77.8
commons-cli, orig, 28, 77.5
commons-cli, orig, 29, 78.2
commons-cli, cs, 0, 77.5
commons-cli, pp, 0, 78.1
