project, method, run, precision
commons-io, orig, 10, 69.9
commons-io, 3-Proj, 10, 68.4
commons-io, 3D-Clus, 10, 77.7
commons-io, orig, 11, 69.8
commons-io, 3-Proj, 11, 69.5
commons-io, 3D-Clus, 11, 77.8
commons-io, orig, 12, 70.2
commons-io, 3-Proj, 12, 69.9
commons-io, 3D-Clus, 12, 77.4
commons-io, orig, 13, 70.4
commons-io, 3-Proj, 13, 69.8
commons-io, 3D-Clus, 13, 78.2
commons-io, orig, 14, 69.7
commons-io, 3-Proj, 14, 70.0
commons-io, 3D-Clus, 14, 77.8
commons-io, orig, 15, 69.2
commons-io, 3-Proj, 15, 69.4
commons-io, 3D-Clus, 15, 77.7
commons-io, orig, 16, 70.1
commons-io, 3-Proj, 16, 70.1
commons-io, 3D-Clus, 16, 77.2
commons-io, orig, 17, 69.2
commons-io, 3-Proj, 17, 71.1
commons-io, 3D-Clus, 17, 77.6
commons-io, orig, 18, 69.1
commons-io, 3-Proj, 18, 69.7
commons-io, 3D-Clus, 18, 76.3
commons-io, orig, 19, 70.0
commons-io, 3-Proj, 19, 69.5
commons-io, 3D-Clus, 19, 77.5
commons-io, orig, 20, 69.9
commons-io, 3-Proj, 20, 69.9
commons-io, 3D-Clus, 20, 77.5
commons-io, orig, 21, 69.4
commons-io, 3-Proj, 21, 69.4
commons-io, 3D-Clus, 21, 74.5
commons-io, orig, 22, 69.9
commons-io, 3-Proj, 22, 71.1
commons-io, 3D-Clus, 22, 76.4
commons-io, orig, 23, 70.0
commons-io, 3-Proj, 23, 69.6
commons-io, 3D-Clus, 23, 77.2
commons-io, orig, 24, 68.8
commons-io, 3-Proj, 24, 68.4
commons-io, 3D-Clus, 24, 76.2
commons-io, orig, 25, 69.4
commons-io, 3-Proj, 25, 71.4
commons-io, 3D-Clus, 25, 77.0
commons-io, orig, 26, 69.4
commons-io, 3-Proj, 26, 69.7
commons-io, 3D-Clus, 26, 77.4
commons-io, orig, 27, 69.7
commons-io, 3-Proj, 27, 68.5
commons-io, 3D-Clus, 27, 75.1
commons-io, orig, 28, 70.2
commons-io, 3-Proj, 28, 69.8
commons-io, 3D-Clus, 28, 76.9
commons-io, orig, 29, 70.7
commons-io, 3-Proj, 29, 71.2
commons-io, 3D-Clus, 29, 77.3
