project, method, run, reduction
google-auto-common, orig, 21, 0.153
google-auto-common, 3-Proj, 21, 0.153
google-auto-common, 3D-Clus, 21, 0.153
google-auto-common, orig, 22, 0.153
google-auto-common, 3-Proj, 22, 0.153
google-auto-common, 3D-Clus, 22, 0.153
google-auto-common, orig, 23, 0.153
google-auto-common, 3-Proj, 23, 0.153
google-auto-common, 3D-Clus, 23, 0.153
google-auto-common, orig, 24, 0.153
google-auto-common, 3-Proj, 24, 0.153
google-auto-common, 3D-Clus, 24, 0.153
google-auto-common, orig, 25, 0.153
google-auto-common, 3-Proj, 25, 0.153
google-auto-common, 3D-Clus, 25, 0.153
google-auto-common, orig, 26, 0.153
google-auto-common, 3-Proj, 26, 0.153
google-auto-common, 3D-Clus, 26, 0.153
google-auto-common, orig, 27, 0.153
google-auto-common, 3-Proj, 27, 0.153
google-auto-common, 3D-Clus, 27, 0.153
google-auto-common, orig, 28, 0.153
google-auto-common, 3-Proj, 28, 0.153
google-auto-common, 3D-Clus, 28, 0.153
google-auto-common, orig, 29, 0.153
google-auto-common, 3-Proj, 29, 0.153
google-auto-common, 3D-Clus, 29, 0.153
scribejava-core, cs, 0, 0.100
scribejava-core, orig, 0, 0.139
scribejava-core, 3-Proj, 0, 0.139
scribejava-core, 3D-Clus, 0, 0.139
scribejava-core, orig, 1, 0.139
scribejava-core, 3-Proj, 1, 0.139
scribejava-core, 3D-Clus, 1, 0.139
scribejava-core, orig, 2, 0.139
scribejava-core, 3-Proj, 2, 0.139
scribejava-core, 3D-Clus, 2, 0.139
scribejava-core, orig, 3, 0.139
scribejava-core, 3-Proj, 3, 0.139
scribejava-core, 3D-Clus, 3, 0.139
scribejava-core, orig, 4, 0.139
scribejava-core, 3-Proj, 4, 0.139
scribejava-core, 3D-Clus, 4, 0.139
scribejava-core, orig, 5, 0.139
scribejava-core, 3-Proj, 5, 0.139
scribejava-core, 3D-Clus, 5, 0.139
scribejava-core, orig, 6, 0.139
scribejava-core, 3-Proj, 6, 0.139
scribejava-core, 3D-Clus, 6, 0.139
scribejava-core, orig, 7, 0.139
scribejava-core, 3-Proj, 7, 0.139
scribejava-core, 3D-Clus, 7, 0.139
scribejava-core, orig, 8, 0.139
scribejava-core, 3-Proj, 8, 0.139
scribejava-core, 3D-Clus, 8, 0.139
scribejava-core, orig, 9, 0.139
scribejava-core, 3-Proj, 9, 0.139
scribejava-core, 3D-Clus, 9, 0.139
scribejava-core, orig, 10, 0.139
scribejava-core, 3-Proj, 10, 0.139
scribejava-core, 3D-Clus, 10, 0.139
scribejava-core, orig, 11, 0.139
scribejava-core, 3-Proj, 11, 0.139
scribejava-core, 3D-Clus, 11, 0.139
scribejava-core, orig, 12, 0.139
scribejava-core, 3-Proj, 12, 0.139
scribejava-core, 3D-Clus, 12, 0.139
scribejava-core, orig, 13, 0.139
scribejava-core, 3-Proj, 13, 0.139
scribejava-core, 3D-Clus, 13, 0.139
scribejava-core, orig, 14, 0.139
scribejava-core, 3-Proj, 14, 0.139
scribejava-core, 3D-Clus, 14, 0.139
scribejava-core, orig, 15, 0.139
scribejava-core, 3-Proj, 15, 0.139
scribejava-core, 3D-Clus, 15, 0.139
scribejava-core, orig, 16, 0.139
scribejava-core, 3-Proj, 16, 0.139
scribejava-core, 3D-Clus, 16, 0.139
scribejava-core, orig, 17, 0.139
scribejava-core, 3-Proj, 17, 0.139
scribejava-core, 3D-Clus, 17, 0.139
scribejava-core, orig, 18, 0.139
scribejava-core, 3-Proj, 18, 0.139
scribejava-core, 3D-Clus, 18, 0.139
scribejava-core, orig, 19, 0.139
scribejava-core, 3-Proj, 19, 0.139
scribejava-core, 3D-Clus, 19, 0.139
scribejava-core, orig, 20, 0.139
scribejava-core, 3-Proj, 20, 0.139
scribejava-core, 3D-Clus, 20, 0.139
scribejava-core, orig, 21, 0.139
scribejava-core, 3-Proj, 21, 0.139
scribejava-core, 3D-Clus, 21, 0.139
scribejava-core, orig, 22, 0.139
scribejava-core, 3-Proj, 22, 0.139
scribejava-core, 3D-Clus, 22, 0.139
scribejava-core, orig, 23, 0.139
scribejava-core, 3-Proj, 23, 0.139
scribejava-core, 3D-Clus, 23, 0.139
scribejava-core, orig, 24, 0.139
scribejava-core, 3-Proj, 24, 0.139
scribejava-core, 3D-Clus, 24, 0.139
scribejava-core, orig, 25, 0.139
scribejava-core, 3-Proj, 25, 0.139
scribejava-core, 3D-Clus, 25, 0.139
scribejava-core, orig, 26, 0.139
scribejava-core, 3-Proj, 26, 0.139
scribejava-core, 3D-Clus, 26, 0.139
scribejava-core, orig, 27, 0.139
scribejava-core, 3-Proj, 27, 0.139
scribejava-core, 3D-Clus, 27, 0.139
scribejava-core, orig, 28, 0.139
scribejava-core, 3-Proj, 28, 0.139
scribejava-core, 3D-Clus, 28, 0.139
scribejava-core, orig, 29, 0.139
scribejava-core, 3-Proj, 29, 0.139
