project, method, run, precision
google-auto-common, orig, 28, 75.0
google-auto-common, 3-Proj, 28, 74.3
google-auto-common, 3D-Clus, 28, 77.5
google-auto-common, orig, 29, 76.5
google-auto-common, 3-Proj, 29, 72.7
google-auto-common, 3D-Clus, 29, 78.0
scribejava-core, cs, 0, 86.9
scribejava-core, orig, 0, 69.1
scribejava-core, 3-Proj, 0, 73.3
scribejava-core, 3D-Clus, 0, 78.4
scribejava-core, orig, 1, 70.0
scribejava-core, 3-Proj, 1, 73.2
scribejava-core, 3D-Clus, 1, 74.9
scribejava-core, orig, 2, 68.9
scribejava-core, 3-Proj, 2, 72.4
scribejava-core, 3D-Clus, 2, 79.0
scribejava-core, orig, 3, 67.6
scribejava-core, 3-Proj, 3, 70.0
scribejava-core, 3D-Clus, 3, 80.2
scribejava-core, orig, 4, 70.1
scribejava-core, 3-Proj, 4, 69.4
scribejava-core, 3D-Clus, 4, 78.8
scribejava-core, orig, 5, 68.3
scribejava-core, 3-Proj, 5, 70.6
scribejava-core, 3D-Clus, 5, 75.2
scribejava-core, orig, 6, 67.4
scribejava-core, 3-Proj, 6, 74.2
scribejava-core, 3D-Clus, 6, 79.9
scribejava-core, orig, 7, 69.0
scribejava-core, 3-Proj, 7, 67.9
scribejava-core, 3D-Clus, 7, 71.1
scribejava-core, orig, 8, 68.7
scribejava-core, 3-Proj, 8, 66.7
scribejava-core, 3D-Clus, 8, 78.9
scribejava-core, orig, 9, 68.6
scribejava-core, 3-Proj, 9, 70.0
scribejava-core, 3D-Clus, 9, 75.6
scribejava-core, orig, 10, 69.0
scribejava-core, 3-Proj, 10, 75.2
scribejava-core, 3D-Clus, 10, 79.8
scribejava-core, orig, 11, 69.1
scribejava-core, 3-Proj, 11, 66.7
scribejava-core, 3D-Clus, 11, 76.5
scribejava-core, orig, 12, 69.5
scribejava-core, 3-Proj, 12, 69.8
scribejava-core, 3D-Clus, 12, 78.6
scribejava-core, orig, 13, 68.4
scribejava-core, 3-Proj, 13, 70.3
scribejava-core, 3D-Clus, 13, 79.6
scribejava-core, orig, 14, 68.6
scribejava-core, 3-Proj, 14, 70.3
scribejava-core, 3D-Clus, 14, 69.1
scribejava-core, orig, 15, 70.2
scribejava-core, 3-Proj, 15, 69.2
scribejava-core, 3D-Clus, 15, 79.7
scribejava-core, orig, 16, 69.0
scribejava-core, 3-Proj, 16, 70.2
scribejava-core, 3D-Clus, 16, 79.2
scribejava-core, orig, 17, 69.8
scribejava-core, 3-Proj, 17, 67.8
scribejava-core, 3D-Clus, 17, 75.4
scribejava-core, orig, 18, 68.5
scribejava-core, 3-Proj, 18, 72.8
scribejava-core, 3D-Clus, 18, 75.6
scribejava-core, orig, 19, 68.0
scribejava-core, 3-Proj, 19, 70.5
scribejava-core, 3D-Clus, 19, 76.9
scribejava-core, orig, 20, 68.5
scribejava-core, 3-Proj, 20, 68.3
scribejava-core, 3D-Clus, 20, 79.0
scribejava-core, orig, 21, 69.9
scribejava-core, 3-Proj, 21, 70.4
scribejava-core, 3D-Clus, 21, 78.1
scribejava-core, orig, 22, 69.9
scribejava-core, 3-Proj, 22, 71.9
scribejava-core, 3D-Clus, 22, 59.3
scribejava-core, orig, 23, 68.5
scribejava-core, 3-Proj, 23, 68.4
scribejava-core, 3D-Clus, 23, 78.3
scribejava-core, orig, 24, 70.6
scribejava-core, 3-Proj, 24, 69.6
scribejava-core, 3D-Clus, 24, 75.2
scribejava-core, orig, 25, 67.8
scribejava-core, 3-Proj, 25, 74.2
scribejava-core, 3D-Clus, 25, 79.2
scribejava-core, orig, 26, 67.5
scribejava-core, 3-Proj, 26, 69.1
scribejava-core, 3D-Clus, 26, 78.9
scribejava-core, orig, 27, 68.6
scribejava-core, 3-Proj, 27, 73.5
scribejava-core, 3D-Clus, 27, 79.6
scribejava-core, orig, 28, 68.4
scribejava-core, 3-Proj, 28, 69.7
scribejava-core, 3D-Clus, 28, 78.8
scribejava-core, orig, 29, 69.3
scribejava-core, 3-Proj, 29, 69.2
scribejava-core, 3D-Clus, 29, 76.5
google-auto-factory, cs, 0, 82.7
google-auto-factory, orig, 0, 83.0
google-auto-factory, 3-Proj, 0, 83.8
google-auto-factory, 3D-Clus, 0, 79.9
google-auto-factory, orig, 1, 83.3
google-auto-factory, 3-Proj, 1, 82.0
google-auto-factory, 3D-Clus, 1, 80.1
google-auto-factory, orig, 2, 83.1
google-auto-factory, 3-Proj, 2, 84.9
google-auto-factory, 3D-Clus, 2, 80.7
google-auto-factory, orig, 3, 82.5
google-auto-factory, 3-Proj, 3, 79.7
google-auto-factory, 3D-Clus, 3, 78.4
google-auto-factory, orig, 4, 83.6
google-auto-factory, 3-Proj, 4, 83.5
google-auto-factory, 3D-Clus, 4, 79.9
google-auto-factory, orig, 5, 83.5
google-auto-factory, 3-Proj, 5, 83.9
google-auto-factory, 3D-Clus, 5, 81.7
google-auto-factory, orig, 6, 83.6
google-auto-factory, 3-Proj, 6, 85.2
google-auto-factory, 3D-Clus, 6, 79.4
google-auto-factory, orig, 7, 84.5
google-auto-factory, 3-Proj, 7, 82.9
google-auto-factory, 3D-Clus, 7, 80.8
google-auto-factory, orig, 8, 83.8
google-auto-factory, 3-Proj, 8, 74.6
google-auto-factory, 3D-Clus, 8, 79.4
google-auto-factory, orig, 9, 84.1
google-auto-factory, 3-Proj, 9, 79.0
google-auto-factory, 3D-Clus, 9, 79.0
google-auto-factory, orig, 10, 85.8
google-auto-factory, 3-Proj, 10, 84.2
google-auto-factory, 3D-Clus, 10, 79.8
google-auto-factory, orig, 11, 82.5
google-auto-factory, 3-Proj, 11, 83.8
google-auto-factory, 3D-Clus, 11, 79.6
google-auto-factory, orig, 12, 83.3
google-auto-factory, 3-Proj, 12, 77.8
google-auto-factory, 3D-Clus, 12, 77.2
google-auto-factory, orig, 13, 85.5
google-auto-factory, 3-Proj, 13, 83.6
google-auto-factory, 3D-Clus, 13, 78.1
google-auto-factory, orig, 14, 83.6
google-auto-factory, 3-Proj, 14, 83.2
google-auto-factory, 3D-Clus, 14, 77.9
google-auto-factory, orig, 15, 82.1
google-auto-factory, 3-Proj, 15, 79.2
google-auto-factory, 3D-Clus, 15, 77.3
google-auto-factory, orig, 16, 83.1
google-auto-factory, 3-Proj, 16, 76.1
google-auto-factory, 3D-Clus, 16, 78.7
google-auto-factory, orig, 17, 82.3
google-auto-factory, 3-Proj, 17, 84.0
google-auto-factory, 3D-Clus, 17, 75.9
google-auto-factory, orig, 18, 82.4
google-auto-factory, 3-Proj, 18, 84.0
google-auto-factory, 3D-Clus, 18, 81.1
google-auto-factory, orig, 19, 83.0
google-auto-factory, 3-Proj, 19, 85.2
google-auto-factory, 3D-Clus, 19, 81.2
google-auto-factory, orig, 20, 84.5
google-auto-factory, 3-Proj, 20, 83.4
google-auto-factory, 3D-Clus, 20, 80.1
google-auto-factory, orig, 21, 84.3
google-auto-factory, 3-Proj, 21, 75.4
google-auto-factory, 3D-Clus, 21, 75.1
google-auto-factory, orig, 22, 82.2
google-auto-factory, 3-Proj, 22, 79.9
google-auto-factory, 3D-Clus, 22, 79.1
google-auto-factory, orig, 23, 82.8
google-auto-factory, 3-Proj, 23, 85.4
google-auto-factory, 3D-Clus, 23, 78.6
google-auto-factory, orig, 24, 82.7
google-auto-factory, 3-Proj, 24, 81.1
google-auto-factory, 3D-Clus, 24, 80.1
google-auto-factory, orig, 25, 83.1
google-auto-factory, 3-Proj, 25, 84.9
google-auto-factory, 3D-Clus, 25, 79.3
google-auto-factory, orig, 26, 83.8
google-auto-factory, 3-Proj, 26, 77.2
google-auto-factory, 3D-Clus, 26, 79.8
google-auto-factory, orig, 27, 84.5
google-auto-factory, 3-Proj, 27, 81.4
google-auto-factory, 3D-Clus, 27, 80.6
google-auto-factory, orig, 28, 81.7
google-auto-factory, 3-Proj, 28, 83.1
google-auto-factory, 3D-Clus, 28, 80.3
google-auto-factory, orig, 29, 83.8
google-auto-factory, 3-Proj, 29, 80.0
google-auto-factory, 3D-Clus, 29, 79.6
