project, method, run, timing
google-auto-common, orig, 14, 0.9
google-auto-common, 3-Proj, 14, 0.8
google-auto-common, 3D-Clus, 14, 1.8
google-auto-common, orig, 15, 0.9
google-auto-common, 3-Proj, 15, 0.8
google-auto-common, 3D-Clus, 15, 1.8
google-auto-common, orig, 16, 0.9
google-auto-common, 3-Proj, 16, 0.8
google-auto-common, 3D-Clus, 16, 1.8
google-auto-common, orig, 17, 0.9
google-auto-common, 3-Proj, 17, 0.8
google-auto-common, 3D-Clus, 17, 1.8
google-auto-common, orig, 18, 0.9
google-auto-common, 3-Proj, 18, 0.8
google-auto-common, 3D-Clus, 18, 1.8
google-auto-common, orig, 19, 0.9
google-auto-common, 3-Proj, 19, 0.8
google-auto-common, 3D-Clus, 19, 1.8
google-auto-common, orig, 20, 0.9
google-auto-common, 3-Proj, 20, 0.9
google-auto-common, 3D-Clus, 20, 1.8
google-auto-common, orig, 21, 0.9
google-auto-common, 3-Proj, 21, 0.8
google-auto-common, 3D-Clus, 21, 1.8
google-auto-common, orig, 22, 0.9
google-auto-common, 3-Proj, 22, 0.9
google-auto-common, 3D-Clus, 22, 1.7
google-auto-common, orig, 23, 0.9
google-auto-common, 3-Proj, 23, 0.8
google-auto-common, 3D-Clus, 23, 1.7
google-auto-common, orig, 24, 0.9
google-auto-common, 3-Proj, 24, 0.8
google-auto-common, 3D-Clus, 24, 1.8
google-auto-common, orig, 25, 0.9
google-auto-common, 3-Proj, 25, 0.8
google-auto-common, 3D-Clus, 25, 1.8
google-auto-common, orig, 26, 0.9
google-auto-common, 3-Proj, 26, 0.8
google-auto-common, 3D-Clus, 26, 1.8
google-auto-common, orig, 27, 0.9
google-auto-common, 3-Proj, 27, 0.8
google-auto-common, 3D-Clus, 27, 1.8
google-auto-common, orig, 28, 0.9
google-auto-common, 3-Proj, 28, 0.8
google-auto-common, 3D-Clus, 28, 1.8
google-auto-common, orig, 29, 0.9
google-auto-common, 3-Proj, 29, 0.8
google-auto-common, 3D-Clus, 29, 1.8
scribejava-core, cs, 0, 3.2
scribejava-core, orig, 0, 1.0
scribejava-core, 3-Proj, 0, 0.9
scribejava-core, 3D-Clus, 0, 2.2
scribejava-core, orig, 1, 1.0
scribejava-core, 3-Proj, 1, 1.0
scribejava-core, 3D-Clus, 1, 2.1
scribejava-core, orig, 2, 1.0
